oem_id,car_model_id,car_variant_id,year,km_driven,fuel,seller_type,transmission,owner,rating,car_showroom_price,selling_price,RTO,id
4,134,848,2017,10510,Petrol,Dealer,Automatic,First Owner,6,681279,520000,2507,1
4,12,41,2012,67000,CNG,Dealer,Manual,Second Owner,10,395494,185000,806,2
11,39,1345,2013,40771,Petrol,Dealer,Manual,First Owner,9,840072,415000,2993,3
10,29,87,2016,53000,Petrol,Individual,Manual,Second Owner,6,250023,200000,181,4
19,130,1551,2018,9800,Petrol,Dealer,Automatic,First Owner,9,5398822,4500000,4304,5
7,33,873,2013,78413,Diesel,Dealer,Manual,Second Owner,7,635890,550000,2339,6
2,131,1314,2017,40000,Diesel,Individual,Manual,First Owner,6,1183096,800000,3650,7
2,68,397,2014,120000,Diesel,Individual,Manual,Second Owner,6,618714,500000,2260,8
7,46,1133,2009,68350,Diesel,Dealer,Manual,First Owner,10,870235,400000,3087,9
11,39,1165,2016,35000,Petrol,Individual,Manual,First Owner,7,997594,509999,3361,10
10,57,1006,2014,66569,Diesel,Dealer,Manual,First Owner,8,737176,550000,2702,11
2,131,1062,2015,45974,Diesel,Trustmark Dealer,Manual,First Owner,9,857917,750000,3051,12
2,8,70,2014,50000,Petrol,Individual,Manual,First Owner,9,393913,240000,796,13
2,32,93,2009,250000,Petrol,Individual,Manual,Second Owner,8,501768,120000,1527,14
2,8,101,2015,70000,Petrol,Individual,Manual,First Owner,9,272090,190000,251,15
4,115,1387,2016,60000,Diesel,Individual,Manual,First Owner,7,1427632,780000,3873,16
2,44,1283,2017,15000,Petrol,Individual,Manual,First Owner,9,1283129,800000,3769,17
4,48,610,2012,70000,Diesel,Individual,Manual,First Owner,7,672542,400000,2470,18
9,41,686,2015,50000,Diesel,Individual,Manual,First Owner,7,533696,450000,1779,19
2,8,377,2007,100000,Petrol,Individual,Manual,Second Owner,9,441820,125000,1062,20
2,3,232,2012,40000,Petrol,Individual,Manual,Second Owner,10,331129,229999,506,21
4,14,21,2015,25000,Petrol,Individual,Manual,First Owner,10,536102,250000,1797,22
7,21,907,2009,155000,Diesel,Individual,Automatic,Third Owner,9,660413,275000,2427,23
13,51,1032,2014,58000,Petrol,Dealer,Manual,First Owner,6,487060,345000,1405,24
8,71,332,2007,50000,Petrol,Individual,Manual,Second Owner,10,390524,125000,778,25
2,134,1081,2007,145000,Petrol,Individual,Manual,Third Owner,10,813921,479000,2933,26
5,15,163,2011,149000,Diesel,Individual,Manual,Second Owner,8,296069,175000,336,27
10,29,348,2017,7658,Petrol,Dealer,Automatic,First Owner,10,397390,350000,812,28
2,3,801,2006,80000,Petrol,Individual,Manual,Second Owner,8,593797,75000,2155,29
1,58,393,2015,60000,Petrol,Individual,Manual,Second Owner,10,420769,300000,936,30
21,159,1414,2012,118000,Diesel,Individual,Automatic,Second Owner,9,2152554,1400000,4142,31
20,154,1511,2017,30000,Diesel,Individual,Automatic,First Owner,9,2629985,2400000,4206,32
4,11,356,2008,56000,Petrol,Individual,Manual,Second Owner,8,640891,195000,2366,33
1,158,240,2012,80000,Diesel,Individual,Manual,Second Owner,9,336899,270000,528,34
1,1,3,2009,30000,Diesel,Individual,Manual,First Owner,6,442953,150000,1069,35
2,18,683,1998,35000,LPG,Individual,Manual,Second Owner,9,533481,50000,1776,36
4,48,997,2017,35000,Diesel,Individual,Manual,First Owner,10,1359021,700000,3823,37
7,162,1420,2019,10000,Diesel,Individual,Manual,First Owner,7,1576445,1000000,3968,38
9,41,546,2013,80000,Diesel,Individual,Manual,First Owner,9,542233,450000,1847,39
4,48,356,2010,60000,Petrol,Individual,Manual,Third Owner,8,407960,270000,868,40
2,32,93,2008,70000,Petrol,Individual,Manual,Third Owner,7,520807,90000,1680,41
2,5,478,2000,50000,Petrol,Individual,Manual,First Owner,10,462061,60000,1205,42
2,3,108,2010,50000,LPG,Dealer,Manual,First Owner,10,524652,240000,1708,43
2,42,228,2018,10200,Petrol,Dealer,Manual,First Owner,9,637262,401000,2351,44
3,4,9,2012,85000,Diesel,Individual,Manual,First Owner,9,306534,200000,383,45
3,19,1040,2009,48000,Petrol,Individual,Manual,First Owner,8,765872,250000,2794,46
4,20,690,2006,110000,Petrol,Individual,Manual,First Owner,8,534882,80000,1787,47
4,14,21,2016,24662,Petrol,Dealer,Manual,First Owner,9,520289,320000,1676,48
7,114,1439,2019,15000,Diesel,Individual,Manual,First Owner,10,1647871,900000,4015,49
4,11,973,2012,45000,Petrol,Individual,Manual,Second Owner,6,276203,229999,266,50
13,63,371,2014,44875,Diesel,Dealer,Manual,First Owner,6,575783,395000,2071,51
7,87,640,1999,2020,Diesel,Individual,Manual,Second Owner,9,517784,170000,1657,52
2,3,4,2007,50000,Petrol,Individual,Manual,First Owner,6,492194,135000,1448,53
4,11,329,2014,29000,LPG,Individual,Manual,First Owner,6,568224,290000,2014,54
4,59,364,2016,96000,Petrol,Individual,Manual,First Owner,9,418326,300000,926,55
2,3,184,2013,70000,Petrol,Individual,Manual,Second Owner,9,310353,250000,401,56
5,67,696,2013,72000,Diesel,Individual,Manual,First Owner,6,844338,425000,3008,57
13,63,1186,2018,26000,Petrol,Dealer,Automatic,First Owner,9,1461077,725000,3899,58
13,63,371,2013,120000,Diesel,Individual,Manual,First Owner,8,526047,349000,1718,59
1,1,390,2005,100000,Diesel,Individual,Manual,First Owner,10,417272,100000,923,60
9,23,135,2013,30000,Petrol,Individual,Manual,First Owner,10,287746,164000,309,61
3,4,9,2012,50000,Diesel,Individual,Manual,First Owner,9,310235,160000,400,62
1,2,126,2011,60000,Petrol,Individual,Manual,Second Owner,9,270062,65000,243,63
20,157,1367,2006,30000,Diesel,Dealer,Automatic,First Owner,10,1329070,1050000,3803,64
13,63,1191,2018,25000,Diesel,Dealer,Manual,First Owner,9,958498,780000,3285,65
3,4,40,2013,46000,Diesel,Individual,Manual,First Owner,7,367677,195000,681,66
5,104,744,2009,105000,Diesel,Individual,Manual,Second Owner,10,773709,500000,2817,67
2,44,1128,2015,40000,Petrol,Individual,Manual,First Owner,10,402289,400000,837,68
2,112,1169,2016,72787,Diesel,Trustmark Dealer,Manual,First Owner,9,1217775,640000,3686,69
11,61,637,2010,120000,Diesel,Individual,Manual,First Owner,10,516616,400000,1646,70
2,3,186,2004,60000,Petrol,Individual,Manual,Third Owner,10,549120,80000,1893,71
2,3,47,2014,80000,Petrol,Individual,Manual,Second Owner,8,425390,290000,962,72
2,112,1281,2017,50000,Diesel,Individual,Manual,First Owner,9,1114416,750000,3557,73
1,2,17,2015,45000,Petrol,Dealer,Manual,First Owner,6,162354,110000,18,74
2,3,467,2003,100000,Petrol,Individual,Manual,Second Owner,9,537894,60000,1809,75
5,15,1381,2020,1111,Petrol,Dealer,Manual,Test Drive Car,10,1141984,746000,3596,76
14,99,687,2004,120000,Diesel,Individual,Manual,Second Owner,8,534042,120000,1783,77
10,29,348,2017,7658,Petrol,Dealer,Automatic,First Owner,10,473590,350000,1287,78
7,46,620,2011,140000,Diesel,Individual,Manual,Second Owner,7,510894,350000,1599,79
11,39,355,2013,75000,Diesel,Dealer,Manual,First Owner,10,478297,350000,1332,80
2,8,205,2009,50000,Petrol,Individual,Manual,Second Owner,9,444313,110000,1077,81
2,47,838,2019,50000,Petrol,Individual,Manual,First Owner,7,615572,340000,2249,82
4,14,69,2012,14987,Petrol,Dealer,Manual,First Owner,10,314140,245000,422,83
4,20,369,2005,56580,Petrol,Dealer,Manual,First Owner,9,555460,80000,1934,84
4,48,1242,2018,37000,Diesel,Dealer,Manual,First Owner,9,1063773,650000,3480,85
4,48,356,2010,55000,Petrol,Individual,Manual,First Owner,9,399752,250000,826,86
2,89,1270,2017,20000,Diesel,Individual,Manual,First Owner,9,1109447,650000,3548,87
4,14,109,2014,76000,Petrol,Individual,Manual,Second Owner,10,261864,180000,213,88
2,8,932,2005,124000,Petrol,Individual,Manual,Second Owner,10,367607,100000,680,89
1,102,1266,2016,80000,Diesel,Individual,Manual,First Owner,7,1082645,869999,3511,90
19,180,1544,2014,79500,Diesel,Individual,Automatic,Second Owner,6,4476283,2500000,4281,91
2,5,600,2008,70000,Petrol,Individual,Manual,Second Owner,7,507869,120000,1574,92
4,24,66,2011,72000,Diesel,Dealer,Manual,Third Owner,10,226581,210000,122,93
14,52,1240,2017,15000,Petrol,Individual,Automatic,First Owner,7,1476333,900000,3908,94
4,20,470,2001,60000,Petrol,Individual,Manual,Third Owner,7,564928,55000,1996,95
2,47,926,2017,93000,Petrol,Dealer,Manual,First Owner,7,713271,430000,2626,96
10,29,87,2017,20000,Petrol,Individual,Manual,First Owner,6,270294,220000,244,97
2,8,205,2011,37091,Petrol,Individual,Manual,First Owner,10,410505,225000,882,98
4,48,951,2009,72000,Diesel,Individual,Manual,Second Owner,10,688428,250000,2546,99
4,12,767,2005,120000,Diesel,Individual,Manual,Second Owner,7,473725,100000,1289,100
1,158,107,2010,250000,Diesel,Individual,Manual,Second Owner,6,448697,300000,1110,101
1,37,728,2016,38000,Diesel,Dealer,Manual,First Owner,7,571069,380000,2034,102
4,11,203,2011,25000,Petrol,Individual,Manual,First Owner,8,488822,220000,1419,103
1,1,1,2008,90000,Diesel,Individual,Manual,Third Owner,8,424027,110000,953,104
2,44,299,2009,120000,Diesel,Individual,Manual,Second Owner,10,448467,150000,1107,105
7,33,95,2006,200000,Diesel,Individual,Manual,Third Owner,6,653908,229999,2409,106
1,7,31,2011,155500,Diesel,Individual,Manual,First Owner,9,226741,150000,124,107
2,112,974,2015,65000,Diesel,Dealer,Manual,First Owner,9,707406,565000,2606,108
3,10,13,2011,60000,Petrol,Individual,Manual,Second Owner,9,228405,140000,130,109
2,68,926,2015,11918,Petrol,Trustmark Dealer,Manual,First Owner,10,1230004,625000,3700,110
4,108,1505,2018,40000,Diesel,Individual,Automatic,First Owner,9,2470491,1600000,4189,111
2,32,93,2007,120000,Petrol,Individual,Manual,First Owner,7,544538,80000,1865,112
7,33,759,2018,25000,Diesel,Individual,Manual,First Owner,9,1386687,900000,3853,113
14,69,743,2006,100000,Diesel,Individual,Manual,First Owner,6,897843,350000,3158,114
11,39,343,2012,56000,Diesel,Individual,Manual,First Owner,10,410671,409999,885,115
1,1,14,2010,80000,Diesel,Individual,Manual,First Owner,9,157043,100000,15,116
14,69,327,2012,52000,Diesel,Dealer,Manual,First Owner,9,386266,385000,762,117
2,3,295,2016,23000,Petrol,Dealer,Manual,Second Owner,9,489436,375000,1426,118
4,14,237,2012,170000,LPG,Individual,Manual,Third Owner,10,355273,170000,633,119
1,2,6,2011,20000,Petrol,Individual,Manual,First Owner,8,194246,120000,50,120
2,8,67,2012,8000,Petrol,Individual,Manual,First Owner,9,435256,250000,1022,121
26,170,1478,2012,115992,Diesel,Dealer,Automatic,Third Owner,10,2078995,1750000,4124,122
5,13,113,2014,80322,Diesel,Dealer,Manual,First Owner,9,621789,325000,2278,123
6,16,445,2013,100000,Diesel,Individual,Manual,Second Owner,6,802358,434999,2905,124
1,158,107,2009,120000,Diesel,Individual,Manual,Third Owner,9,574917,150000,2065,125
7,114,1120,2013,45766,Diesel,Individual,Manual,Second Owner,10,1119643,615000,3565,126
13,126,1134,2009,57035,Petrol,Dealer,Manual,First Owner,7,870321,350000,3088,127
3,50,865,2014,30000,Petrol,Individual,Manual,First Owner,6,655059,350000,2414,128
1,158,107,2010,120000,Diesel,Individual,Manual,Second Owner,10,279070,180000,272,129
13,63,896,2016,10000,Petrol,Individual,Manual,First Owner,10,892346,600000,3146,130
10,138,1129,2017,13500,Diesel,Individual,Manual,First Owner,10,1647066,825000,4012,131
2,42,504,2019,5000,Petrol,Individual,Manual,First Owner,10,467515,380000,1246,132
7,33,759,2018,44000,Diesel,Individual,Manual,First Owner,7,864670,550000,3068,133
4,24,1359,2017,40000,Diesel,Individual,Manual,First Owner,7,1504858,1200000,3923,134
10,152,1318,2019,10300,Petrol,Individual,Manual,First Owner,10,1200926,600000,3661,135
6,60,255,2011,100000,Diesel,Individual,Manual,First Owner,6,344859,300000,572,136
2,44,127,2014,260000,Diesel,Individual,Manual,Second Owner,10,745658,450000,2735,137
