name,OEM,Model,Variant,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price,RTO Number
Tata Indica Vista Aqua 1.4 TDI,Tata,Indica,Vista Aqua 1.4 TDI,2010,120000,Diesel,Individual,Manual,Second Owner,9.0,106001,100000,KL41IB3146
Tata Nano Lx BSIV,Tata,Nano,Lx BSIV,2012,50000,Petrol,Individual,Manual,Second Owner,9.0,108556,100000,HR92JC6481
Tata Indica Vista Aqua TDI BSIII,Tata,Indica,Vista Aqua TDI BSIII,2011,70000,Diesel,Individual,Manual,First Owner,11.0,120678,120000,KL34JI3127
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2010,80000,Petrol,Individual,Manual,Second Owner,9.0,122917,100000,HR81MV7989
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,80000,Petrol,Individual,Manual,Second Owner,10.0,144902,130000,TS64RP4511
Tata Nano Lx,Tata,Nano,Lx,2011,20000,Petrol,Individual,Manual,First Owner,9.98,145258,120000,KL57QL5317
Maruti Zen Estilo VXI BSIV,Maruti,Zen,Estilo VXI BSIV,2010,50000,Petrol,Individual,Manual,Second Owner,9.0,147079,130000,WB19ZB1721
Maruti A-Star Vxi,Maruti,A-Star,Vxi,2010,70000,Petrol,Individual,Manual,Second Owner,10.0,148965,130000,CG33KK7621
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2011,50000,Diesel,Individual,Manual,First Owner,9.0,149034,106000,PB24HP1166
Tata Indigo TDI,Tata,Indigo,TDI,2013,125000,Diesel,Individual,Manual,First Owner,9.0,152795,125000,HR14UK7732
Maruti Alto LX,Maruti,Alto,LX,2011,40000,Petrol,Individual,Manual,First Owner,10.0,154264,151000,AS75SJ9090
Maruti Ritz VDi,Maruti,Ritz,VDi,2012,80000,Diesel,Individual,Manual,Second Owner,10.29,154812,110000,MP72DK4295
Tata Nano Lx,Tata,Nano,Lx,2011,20000,Petrol,Individual,Manual,First Owner,11.0,155525,120000,RJ21KW9458
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2011,60000,Petrol,Individual,Manual,Third Owner,10.0,156895,125000,UP39KV1826
Tata Indica Vista Terra 1.4 TDI,Tata,Indica,Vista Terra 1.4 TDI,2010,80000,Diesel,Individual,Manual,First Owner,9.0,157043,100000,RJ22MB4863
Tata Indigo LS BSII,Tata,Indigo,LS BSII,2012,110000,Diesel,Individual,Manual,First Owner,10.15,160528,160000,AP88IA7630
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2013,50000,Petrol,Individual,Manual,First Owner,10.06,161136,110000,JK38PX8316
Tata Nano CX SE,Tata,Nano,CX SE,2015,45000,Petrol,Dealer,Manual,First Owner,10.65,162354,110000,GJ58QW1327
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,80000,Petrol,Individual,Manual,Second Owner,9.86,162537,130000,TS67VZ8589
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2015,35000,Petrol,Individual,Manual,First Owner,10.87,163089,114999,UP76QV1459
Hyundai i10 Magna 1.2,Hyundai,i10,Magna 1.2,2010,90000,Petrol,Individual,Manual,Second Owner,10.0,163411,150000,MH20RJ3309
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2016,40000,Petrol,Individual,Manual,First Owner,10.0,163643,130000,TS21MS1006
Hyundai Accent Executive,Hyundai,Accent,Executive,2010,67000,Petrol,Individual,Manual,Third Owner,10.93,168195,120000,UP47JB8017
Ford Fiesta Titanium 1.5 TDCi,Ford,Fiesta,Titanium 1.5 TDCi,2012,120000,Diesel,Individual,Manual,First Owner,9.85,168704,165000,GJ96ZG2267
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2013,80000,Petrol,Individual,Manual,First Owner,11.0,169005,160000,MP45YW6742
Hyundai EON 1.0 Era Plus,Hyundai,EON,1.0 Era Plus,2018,21302,Petrol,Individual,Manual,First Owner,12.0,170565,100000,MH65MT2303
Tata Indica Vista Terra 1.4 TDI,Tata,Indica,Vista Terra 1.4 TDI,2010,80000,Diesel,Individual,Manual,First Owner,13.0,170597,100000,MP10UM8262
Hyundai EON D Lite Plus,Hyundai,EON,D Lite Plus,2012,70000,Petrol,Individual,Manual,Second Owner,10.4,171852,160000,RJ15PJ4612
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2014,166000,Diesel,Individual,Manual,Fourth & Above Owner,11.92,176527,125000,UT62YZ2123
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2012,50000,Diesel,Individual,Manual,First Owner,10.0,177451,160000,GJ90JS6548
Ford Figo Diesel Titanium,Ford,Figo,Diesel Titanium,2011,120000,Diesel,Individual,Manual,Second Owner,10.0,177915,150000,BR85DP7097
Volkswagen Polo Diesel Trendline 1.2L,Volkswagen,Polo,Diesel Trendline 1.2L,2010,144000,Diesel,Individual,Manual,Fourth & Above Owner,9.0,178777,130000,TN88EO7872
Ford Figo Diesel Titanium,Ford,Figo,Diesel Titanium,2010,90000,Diesel,Individual,Manual,Third Owner,9.2,179027,105000,TN97ZR3677
Tata Indica Vista Aura 1.2 Safire,Tata,Indica,Vista Aura 1.2 Safire,2010,120000,Petrol,Individual,Manual,Second Owner,14.18,180295,100000,UP56AQ8516
Tata Manza Aura (ABS) Safire BS IV,Tata,Manza,Aura (ABS) Safire BS IV,2010,77073,Petrol,Individual,Manual,Second Owner,13.0,181526,110000,JK44FD8534
Tata Indica Vista Aqua 1.3 Quadrajet,Tata,Indica,Vista Aqua 1.3 Quadrajet,2010,110000,Diesel,Individual,Manual,Second Owner,13.0,183163,110000,DL38WS3050
Tata Indica Vista Quadrajet LS,Tata,Indica,Vista Quadrajet LS,2012,140000,Diesel,Individual,Manual,First Owner,10.98,184323,120000,AS71XU9430
Chevrolet Spark 1.0 LT,Chevrolet,Spark,1.0 LT,2012,28000,Petrol,Individual,Manual,First Owner,12.0,184642,125000,KL51AD1218
Tata Indigo TDI,Tata,Indigo,TDI,2013,100000,Diesel,Individual,Manual,First Owner,10.28,185893,182000,JK28DB6851
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,80000,Petrol,Individual,Manual,Second Owner,13.0,185992,135000,PB40SN8187
Maruti Alto LX,Maruti,Alto,LX,2011,60000,Petrol,Individual,Manual,Third Owner,10.77,186723,114999,AP26NE8683
Tata Indigo CR4,Tata,Indigo,CR4,2011,90000,Diesel,Individual,Manual,First Owner,11.0,188108,130000,HR48TT8028
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2013,93900,Diesel,Individual,Manual,Second Owner,15.0,188382,130000,KA61RW9057
Maruti Alto LXi,Maruti,Alto,LXi,2010,36000,Petrol,Individual,Manual,First Owner,11.0,189677,160000,JK89YB6647
Maruti A-Star Vxi,Maruti,A-Star,Vxi,2011,70000,Petrol,Individual,Manual,Second Owner,9.22,189731,150000,BR44EN1227
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2017,50000,Petrol,Individual,Manual,First Owner,9.0,190449,160000,DL82PS9511
Tata Indigo LX,Tata,Indigo,LX,2011,60000,Diesel,Individual,Manual,Second Owner,12.12,191190,140000,TS63JC9593
Tata Indica Vista TDI LX,Tata,Indica,Vista TDI LX,2011,120000,Diesel,Individual,Manual,Second Owner,15.0,192003,125000,KL42TT3905
Maruti Omni MPI STD BSIV,Maruti,Omni,MPI STD BSIV,2016,120000,Petrol,Individual,Manual,First Owner,15.0,193588,120000,TS72SU2579
Tata Nano Lx,Tata,Nano,Lx,2011,20000,Petrol,Individual,Manual,First Owner,13.17,194246,120000,RJ23IE8452
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2012,50000,Petrol,Individual,Manual,First Owner,10.0,194989,120000,GJ16MZ4413
Tata Indigo LX,Tata,Indigo,LX,2012,120000,Diesel,Individual,Manual,First Owner,15.0,195044,125000,TS63FN8568
Chevrolet Spark 1.0 LT BS3,Chevrolet,Spark,1.0 LT BS3,2013,60000,Petrol,Individual,Manual,Second Owner,10.0,195568,150000,PB27BW6807
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,70000,Petrol,Individual,Manual,Second Owner,9.0,195610,114999,WB12JL3659
Maruti Alto LX,Maruti,Alto,LX,2012,90000,Petrol,Individual,Manual,First Owner,11.0,195806,150000,RJ15XI5639
Maruti Alto K10 LXI,Maruti,Alto,K10 LXI,2012,20000,Petrol,Individual,Manual,Second Owner,9.13,196472,175000,PB86BJ6740
Maruti Alto LX,Maruti,Alto,LX,2010,88000,Petrol,Individual,Manual,Second Owner,13.0,196823,110000,CG85JS1026
