name,OEM,Model,Variant,year,km_driven,fuel,seller_type,transmission,owner,Rating,ExShowroom Price,selling_price,RTO Number
Tata Indica Vista Aqua 1.4 TDI,Tata,Indica,Vista Aqua 1.4 TDI,2010,120000,Diesel,Individual,Manual,Second Owner,9.0,106001,100000,MH24XE7527
Tata Nano Lx BSIV,Tata,Nano,Lx BSIV,2012,50000,Petrol,Individual,Manual,Second Owner,9.0,108556,100000,MH80FB9089
Tata Indica Vista Aqua TDI BSIII,Tata,Indica,Vista Aqua TDI BSIII,2011,70000,Diesel,Individual,Manual,First Owner,11.0,120678,120000,MH65OR6826
Maruti Wagon R LXI Minor,Maruti,Wagon,R LXI Minor,2010,80000,Petrol,Individual,Manual,Second Owner,9.0,122917,100000,MH31JY5525
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,80000,Petrol,Individual,Manual,Second Owner,10.0,144902,130000,MH15BX8562
Tata Nano Lx,Tata,Nano,Lx,2011,20000,Petrol,Individual,Manual,First Owner,9.98,145258,120000,MH81JY6396
Maruti Zen Estilo VXI BSIV,Maruti,Zen,Estilo VXI BSIV,2010,50000,Petrol,Individual,Manual,Second Owner,9.0,147079,130000,MH55MR5662
Maruti A-Star Vxi,Maruti,A-Star,Vxi,2010,70000,Petrol,Individual,Manual,Second Owner,10.0,148965,130000,MH85EB8262
Chevrolet Beat Diesel LS,Chevrolet,Beat,Diesel LS,2011,50000,Diesel,Individual,Manual,First Owner,9.0,149034,106000,MH14OQ3346
Tata Indigo TDI,Tata,Indigo,TDI,2013,125000,Diesel,Individual,Manual,First Owner,9.0,152795,125000,MH83DJ4800
Maruti Alto LX,Maruti,Alto,LX,2011,40000,Petrol,Individual,Manual,First Owner,10.0,154264,151000,MH94SL5595
Maruti Ritz VDi,Maruti,Ritz,VDi,2012,80000,Diesel,Individual,Manual,Second Owner,10.29,154812,110000,MH67OH2396
Tata Nano Lx,Tata,Nano,Lx,2011,20000,Petrol,Individual,Manual,First Owner,11.0,155525,120000,MH85PK1127
Chevrolet Spark 1.0 LS,Chevrolet,Spark,1.0 LS,2011,60000,Petrol,Individual,Manual,Third Owner,10.0,156895,125000,MH87FA1710
Tata Indica Vista Terra 1.4 TDI,Tata,Indica,Vista Terra 1.4 TDI,2010,80000,Diesel,Individual,Manual,First Owner,9.0,157043,100000,MH38XF6873
Tata Indigo LS BSII,Tata,Indigo,LS BSII,2012,110000,Diesel,Individual,Manual,First Owner,10.15,160528,160000,MH46FM9788
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2013,50000,Petrol,Individual,Manual,First Owner,10.06,161136,110000,MH98XH8002
Tata Nano CX SE,Tata,Nano,CX SE,2015,45000,Petrol,Dealer,Manual,First Owner,10.65,162354,110000,MH19MI9667
Chevrolet Beat LT,Chevrolet,Beat,LT,2010,80000,Petrol,Individual,Manual,Second Owner,9.86,162537,130000,MH24TM3861
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2015,35000,Petrol,Individual,Manual,First Owner,10.87,163089,114999,MH76JG6653
Hyundai i10 Magna 1.2,Hyundai,i10,Magna 1.2,2010,90000,Petrol,Individual,Manual,Second Owner,10.0,163411,150000,MH12GZ9418
Maruti Alto 800 LXI,Maruti,Alto,800 LXI,2016,40000,Petrol,Individual,Manual,First Owner,10.0,163643,130000,MH93ZK6851
Hyundai Accent Executive,Hyundai,Accent,Executive,2010,67000,Petrol,Individual,Manual,Third Owner,10.93,168195,120000,MH14IF7773
Ford Fiesta Titanium 1.5 TDCi,Ford,Fiesta,Titanium 1.5 TDCi,2012,120000,Diesel,Individual,Manual,First Owner,9.85,168704,165000,MH74XH1682
Hyundai EON Era Plus,Hyundai,EON,Era Plus,2013,80000,Petrol,Individual,Manual,First Owner,11.0,169005,160000,MH32MX5280
